stat1,stat2,stat3,stat4,stat5,stat6,prob
11,4,4,4,4,3,99.96%
11,5,4,4,4,3,99.96%
11,6,4,4,4,3,99.96%
11,5,5,4,4,3,99.96%
11,6,5,4,4,3,99.96%
11,7,4,4,4,3,99.96%
11,7,5,4,4,3,99.96%
11,7,7,5,3,3,99.96%
11,6,6,4,4,3,99.96%
11,7,6,4,4,3,99.96%
11,5,5,5,4,3,99.96%
11,6,5,5,4,3,99.96%
11,7,5,5,4,3,99.96%
11,6,6,5,4,3,99.96%
11,7,6,5,4,3,99.96%
11,8,7,3,3,3,99.96%
11,8,7,4,3,3,99.96%
11,8,7,5,3,3,99.96%
11,8,4,4,4,3,99.96%
11,8,5,4,4,3,99.96%
11,8,6,4,4,3,99.96%
11,8,5,5,4,3,99.96%
11,8,6,5,4,3,99.96%
11,7,7,4,4,3,99.96%
11,7,7,5,4,3,99.96%
11,8,7,4,4,3,99.96%
11,8,7,5,4,3,99.96%
7,7,7,7,3,3,99.96%
8,7,7,7,3,3,99.96%
9,7,7,7,3,3,99.96%
8,8,7,7,3,3,99.96%
9,8,7,7,3,3,99.96%
10,8,8,6,5,3,99.96%
7,7,7,7,4,3,99.96%
8,7,7,7,4,3,99.96%
11,6,6,6,3,3,99.96%
11,7,6,6,3,3,99.96%
9,7,7,7,4,3,99.96%
8,8,7,7,4,3,99.96%
9,8,7,7,4,3,99.96%
11,8,6,6,3,3,99.96%
9,9,8,5,5,3,99.96%
11,7,7,6,3,3,99.96%
11,6,6,6,4,3,99.96%
11,7,6,6,4,3,99.96%
11,8,7,6,3,3,99.96%
11,8,6,6,4,3,99.96%
11,7,7,6,4,3,99.96%
11,8,7,6,4,3,99.96%
10,7,7,7,3,3,99.96%
10,8,7,7,3,3,99.96%
9,9,8,6,5,3,99.96%
10,9,8,5,5,3,99.96%
11,9,3,3,3,3,99.96%
11,9,4,3,3,3,99.96%
11,9,5,3,3,3,99.96%
11,9,4,4,3,3,99.96%
11,9,5,4,3,3,99.96%
11,9,6,3,3,3,99.96%
11,9,6,4,3,3,99.96%
10,7,7,7,4,3,99.96%
11,9,5,5,3,3,99.96%
11,9,6,5,3,3,99.96%
10,8,7,7,4,3,99.96%
11,9,7,3,3,3,99.96%
11,9,7,4,3,3,99.96%
11,9,7,5,3,3,99.96%
11,9,4,4,4,3,99.96%
11,9,5,4,4,3,99.96%
11,9,6,4,4,3,99.96%
11,9,5,5,4,3,99.96%
11,9,6,5,4,3,99.96%
11,9,7,4,4,3,99.95%
11,9,7,5,4,3,99.95%
10,9,8,6,5,3,99.95%
9,9,7,7,3,3,99.95%
11,9,6,6,3,3,99.95%
9,9,7,7,4,3,99.95%
11,9,7,6,3,3,99.95%
11,9,6,6,4,3,99.95%
11,9,7,6,4,3,99.95%
10,9,7,7,3,3,99.95%
10,9,7,7,4,3,99.95%
8,8,8,7,3,3,99.95%
9,8,8,7,3,3,99.95%
8,8,8,7,4,3,99.95%
9,8,8,7,4,3,99.95%
11,8,8,3,3,3,99.95%
11,8,8,4,3,3,99.95%
11,8,8,5,3,3,99.95%
11,8,8,4,4,3,99.95%
11,8,8,5,4,3,99.95%
10,8,8,7,3,3,99.95%
10,8,8,7,4,3,99.95%
11,8,8,6,3,3,99.95%
11,8,8,6,4,3,99.94%
9,9,8,7,3,3,99.94%
11,9,8,3,3,3,99.94%
11,9,8,4,3,3,99.94%
11,9,8,5,3,3,99.94%
9,9,8,7,4,3,99.94%
11,9,8,4,4,3,99.94%
11,9,8,5,4,3,99.94%
10,9,8,7,3,3,99.94%
10,9,8,7,4,3,99.94%
11,9,8,6,3,3,99.94%
11,9,8,6,4,3,99.94%
11,5,5,5,5,3,99.94%
11,6,5,5,5,3,99.94%
11,7,5,5,5,3,99.94%
11,6,6,5,5,3,99.94%
11,7,6,5,5,3,99.94%
7,7,7,7,5,3,99.94%
8,7,7,7,5,3,99.94%
9,7,7,7,5,3,99.94%
8,8,7,7,5,3,99.94%
11,8,5,5,5,3,99.94%
11,8,6,5,5,3,99.94%
9,8,7,7,5,3,99.94%
11,7,7,5,5,3,99.94%
11,8,7,5,5,3,99.94%
11,6,6,6,5,3,99.94%
11,7,6,6,5,3,99.94%
11,8,6,6,5,3,99.94%
10,7,7,7,5,3,99.94%
11,7,7,6,5,3,99.94%
10,8,7,7,5,3,99.94%
11,8,7,6,5,3,99.94%
11,9,5,5,5,3,99.93%
11,9,6,5,5,3,99.93%
11,9,7,5,5,3,99.93%
9,9,7,7,5,3,99.93%
11,9,6,6,5,3,99.93%
11,9,7,6,5,3,99.93%
10,9,7,7,5,3,99.93%
8,8,8,7,5,3,99.93%
9,8,8,7,5,3,99.93%
10,8,8,7,5,3,99.93%
11,8,8,5,5,3,99.93%
9,9,8,7,5,3,99.92%
11,8,8,6,5,3,99.92%
10,9,8,7,5,3,99.92%
11,9,8,5,5,3,99.92%
11,7,7,7,3,3,99.92%
11,8,7,7,3,3,99.92%
11,7,7,7,4,3,99.92%
11,8,7,7,4,3,99.92%
11,9,8,6,5,3,99.92%
11,9,7,7,3,3,99.92%
11,9,7,7,4,3,99.92%
10,10,3,3,3,3,99.92%
10,10,4,3,3,3,99.92%
10,10,5,3,3,3,99.92%
10,10,4,4,3,3,99.92%
10,10,5,4,3,3,99.92%
10,10,6,3,3,3,99.92%
10,10,6,4,3,3,99.92%
10,10,5,5,3,3,99.92%
10,10,6,5,3,3,99.92%
10,10,7,3,3,3,99.91%
10,10,7,4,3,3,99.91%
10,10,7,5,3,3,99.91%
10,10,4,4,4,3,99.91%
10,10,5,4,4,3,99.91%
10,10,6,4,4,3,99.91%
10,10,5,5,4,3,99.91%
10,10,6,5,4,3,99.91%
10,10,7,4,4,3,99.91%
10,10,7,5,4,3,99.91%
10,10,6,6,3,3,99.91%
11,8,8,7,3,3,99.91%
10,10,7,6,3,3,99.91%
10,10,6,6,4,3,99.91%
11,8,8,7,4,3,99.91%
10,10,7,6,4,3,99.91%
11,9,8,7,3,3,99.91%
11,9,8,7,4,3,99.91%
10,10,8,3,3,3,99.90%
10,10,8,4,3,3,99.90%
10,10,8,5,3,3,99.90%
10,10,8,4,4,3,99.90%
10,10,8,5,4,3,99.90%
11,7,7,7,5,3,99.90%
11,8,7,7,5,3,99.90%
10,10,8,6,3,3,99.90%
10,10,8,6,4,3,99.90%
11,9,7,7,5,3,99.90%
10,10,5,5,5,3,99.89%
10,10,6,5,5,3,99.89%
10,10,7,5,5,3,99.89%
11,8,8,7,5,3,99.89%
10,10,6,6,5,3,99.89%
10,10,7,6,5,3,99.89%
11,10,3,3,3,3,99.89%
11,10,4,3,3,3,99.89%
11,10,5,3,3,3,99.89%
11,10,4,4,3,3,99.89%
11,10,5,4,3,3,99.89%
11,10,6,3,3,3,99.89%
11,10,6,4,3,3,99.89%
11,10,5,5,3,3,99.89%
11,10,6,5,3,3,99.89%
11,10,7,3,3,3,99.89%
11,10,7,4,3,3,99.89%
11,10,7,5,3,3,99.89%
11,9,8,7,5,3,99.89%
